dataset,backbone,phase,seed,trace_file,mse,mae,static_mse,static_mae,elf_mse,elf_mae,independent_mse,mse_vs_static_pct,mae_vs_static_pct,mse_vs_elf_pct,mae_vs_elf_pct,mse_vs_independent_pct
ETTh2,patchtst,refit,2,results/tsf_edge/elf_real/real_losses_refit_ETTh2_patchtst_s2.npz,0.1356316596614607,0.2460192242518226,0.1599854921813644,0.2673008961640642,0.1376174224650106,0.2463648375089547,0.1362079903546525,15.22252561019437,7.961691194323328,1.4429588695826667,0.140285139968288,0.4231254654673333
ETTm1,dlinear,refit,0,results/tsf_edge/elf_real/real_losses_refit_ETTm1_dlinear_s0.npz,0.2479582679330432,0.3280605525434759,0.2640003862547807,0.3391195211912549,0.2398791817784416,0.3196557852092729,0.2532665102636818,6.076551079836523,3.261082879844601,-3.367981370748363,-2.629318073721243,2.0959116644012843
ETTm1,dlinear,refit,1,results/tsf_edge/elf_real/real_losses_refit_ETTm1_dlinear_s1.npz,0.2528778484227444,0.3329891538814917,0.2714258901522036,0.3471124218506221,0.2408321487874222,0.321022661285525,0.2574245287483661,6.8335565627355095,4.068787827826082,-5.001699190067321,-3.727616158948788,1.7662187623410652
ETTm1,dlinear,refit,2,results/tsf_edge/elf_real/real_losses_refit_ETTm1_dlinear_s2.npz,0.2380417551735924,0.3181376418762861,0.2553406141308771,0.3337978190333603,0.236392291391518,0.3172088651192694,0.2413509978693517,6.774816852448684,4.6915157212303775,-0.6977654695780933,-0.2927965952866707,1.3711328003502166
ETTm1,patchtst,refit,0,results/tsf_edge/elf_real/real_losses_refit_ETTm1_patchtst_s0.npz,0.2738698740656219,0.3438358185649789,0.320290989471134,0.3598315111578851,0.2341020978967369,0.3151491595386346,0.277200079717549,14.49341908811198,4.44532846537935,-16.98736428514478,-9.102565613165648,1.2013725448132615
ETTm1,patchtst,refit,1,results/tsf_edge/elf_real/real_losses_refit_ETTm1_patchtst_s1.npz,0.2687833656220108,0.3455428977468173,0.3116047794356253,0.3632477510041613,0.2400622395629174,0.3210982689618958,0.2723218776956919,13.74221983731193,4.874043461632127,-11.964033207132484,-7.612818612803607,1.2993858971680703
ETTm1,patchtst,refit,2,results/tsf_edge/elf_real/real_losses_refit_ETTm1_patchtst_s2.npz,0.2639398912411018,0.3354681001519315,0.2998470838676395,0.3471134999125112,0.2342249442349912,0.3153034139537005,0.2682090189642302,11.97516819686266,3.354925626204364,-12.686499767632965,-6.395327581575749,1.5917166915620171
ETTm2,dlinear,refit,0,results/tsf_edge/elf_real/real_losses_refit_ETTm2_dlinear_s0.npz,0.0893893697645368,0.197640320780385,0.1020296539490167,0.2151515579462905,0.0859677712913702,0.1915749119627945,0.0940428472767286,12.38883373141313,8.139024106103388,-3.9800944258166826,-3.166076787115224,4.948252468896996
ETTm2,dlinear,refit,1,results/tsf_edge/elf_real/real_losses_refit_ETTm2_dlinear_s1.npz,0.0900226286618112,0.1989936260780635,0.1037356796600981,0.2172191392258056,0.0861575869416763,0.1917712156996107,0.0947572067146474,13.219223167206584,8.390380890330373,-4.486014357332535,-3.766159771217148,4.996536112650485
ETTm2,dlinear,refit,2,results/tsf_edge/elf_real/real_losses_refit_ETTm2_dlinear_s2.npz,0.0900704216937655,0.1995621796154277,0.1031248961800945,0.2162797652883894,0.086560521733612,0.1922637892191201,0.0950723162253413,12.658897094578458,7.729611529155422,-4.054850744725269,-3.7960296246891234,5.261147229988938
ETTm2,patchtst,refit,0,results/tsf_edge/elf_real/real_losses_refit_ETTm2_patchtst_s0.npz,0.0885980855760418,0.1971355403280331,0.1284445097311802,0.2427223750192445,0.0859315396793742,0.1919564129927379,0.0907478412514004,31.02228677467993,18.78147191316705,-3.103104991039296,-2.698074659006644,2.368933129112249
ETTm2,patchtst,refit,1,results/tsf_edge/elf_real/real_losses_refit_ETTm2_patchtst_s1.npz,0.0913764982020783,0.2017103907428258,0.1130723924280687,0.231368989480443,0.0865779978548114,0.1926546473789862,0.0950248156361137,19.18761402328356,12.818744121335335,-5.542401610295844,-4.700506054248077,3.8393312416476366
ETTm2,patchtst,refit,2,results/tsf_edge/elf_real/real_losses_refit_ETTm2_patchtst_s2.npz,0.093494632805136,0.2066646394123046,0.1116529630209007,0.2344577541349283,0.0868069505293328,0.1935729854655859,0.0971269206279375,16.26318704355889,11.854210079411176,-7.704086176306069,-6.76316166495563,3.7397333296662616
appliances,dlinear,refit,0,results/tsf_edge/elf_real/real_losses_refit_appliances_dlinear_s0.npz,0.1830580220428083,0.2482809414649274,0.2214710995625274,0.277695690730193,0.1924049017236124,0.2551450238648896,0.2001162452665849,17.344510229820763,10.59243994313358,4.857921808162036,2.6902670081455526,8.52415714728828
appliances,dlinear,refit,1,results/tsf_edge/elf_real/real_losses_refit_appliances_dlinear_s1.npz,0.1848631018632484,0.2492999116162049,0.2216167536762603,0.2749426919619233,0.1927177931318744,0.254789694363175,0.2026835614413251,16.584329119224417,9.326590993467686,4.075747828458754,2.154632965313364,8.79225697996997
