dataset,backbone,seed,arm,mse,mae
ETTm1,dlinear,0,mae_joint_adapter,0.3002296540285472,0.36751437532042935
ETTm1,dlinear,0,mae_joint_adapter_global,0.3003403725785207,0.3683594070220081
ETTm1,dlinear,0,sf_base,0.28833299890721736,0.3590238966383097
ETTm1,dlinear,0,sf_joint_boundary,0.2664358029614239,0.3457636447907093
ETTm1,dlinear,0,sf_joint_adapter,0.2989913229263134,0.3666535039143468
ETTm1,dlinear,0,sf_joint_adapter_global,0.29966074165823364,0.3674795618072402
ETTm1,dlinear,1,mae_base,0.28419325425926684,0.35546689558858596
ETTm1,dlinear,1,mae_joint_boundary,0.2648717012357624,0.34400758863369885
ETTm1,dlinear,1,mae_joint_adapter,0.2914674424174074,0.3614500143368669
ETTm1,dlinear,1,mae_joint_adapter_global,0.29099899194566453,0.3617063534180182
ETTm1,dlinear,1,sf_base,0.2846099199030828,0.3560255702627159
ETTm1,dlinear,1,sf_joint_boundary,0.2648637570348667,0.34375441596335166
ETTm1,dlinear,1,sf_joint_adapter,0.29263065100779173,0.36292772997201306
ETTm1,dlinear,1,sf_joint_adapter_global,0.29278945530974987,0.36311199396407906
ETTm1,dlinear,2,mae_base,0.28773520533763075,0.35700227780341864
ETTm1,dlinear,2,mae_joint_boundary,0.2624664238002922,0.3415906937470915
ETTm1,dlinear,2,mae_joint_adapter,0.296138210360606,0.3655393979058226
ETTm1,dlinear,2,mae_joint_adapter_global,0.2959714232282699,0.3659854762127392
ETTm1,dlinear,2,sf_base,0.28730453129672684,0.35680560999635597
ETTm1,dlinear,2,sf_joint_boundary,0.2601082489262392,0.33985138309447843
ETTm1,dlinear,2,sf_joint_adapter,0.2931515237117331,0.364124179586185
ETTm1,dlinear,2,sf_joint_adapter_global,0.2935987677402082,0.364420664884584
ETTm1,patchtst,0,mae_base,0.3477525082585035,0.3869158085714544
ETTm1,patchtst,0,mae_joint_boundary,0.2711922287176742,0.34795804660648094
ETTm1,patchtst,0,mae_joint_adapter,0.32531574200294683,0.37706963135458393
ETTm1,patchtst,0,mae_joint_adapter_global,0.3251114943709538,0.37665527079029587
ETTm1,patchtst,0,sf_base,0.32823816294184394,0.3778498252761142
ETTm1,patchtst,0,sf_joint_boundary,0.2704968589989971,0.34790398875074435
ETTm1,patchtst,0,sf_joint_adapter,0.3233121792379294,0.37694346415685337
ETTm1,patchtst,0,sf_joint_adapter_global,0.3233767190174091,0.37657736682021603
ETTm1,patchtst,1,mae_base,0.34854878893503416,0.3985663849500095
ETTm1,patchtst,1,mae_joint_boundary,0.272435824857564,0.3503908093873946
ETTm1,patchtst,1,mae_joint_adapter,0.33078187314401303,0.38604486086332623
ETTm1,patchtst,1,mae_joint_adapter_global,0.3288855998756678,0.38505538059458144
ETTm1,patchtst,1,sf_base,0.3463556064305545,0.39173452761436267
ETTm1,patchtst,1,sf_joint_boundary,0.27117801724021656,0.34851243416727656
ETTm1,patchtst,1,sf_joint_adapter,0.3187103059781838,0.3812603609425191
ETTm1,patchtst,1,sf_joint_adapter_global,0.31824010745051917,0.3809018379717001
ETTm1,patchtst,2,mae_base,0.34233921364294484,0.3920522007012947
ETTm1,patchtst,2,mae_joint_boundary,0.2792757003874033,0.35327394281754126
ETTm1,patchtst,2,mae_joint_adapter,0.3323688420727032,0.3812503509464625
ETTm1,patchtst,2,mae_joint_adapter_global,0.3305533429121849,0.3807233368816427
ETTm1,patchtst,2,sf_base,0.34259219204752334,0.38249529284575945
ETTm1,patchtst,2,sf_joint_boundary,0.2716246161781879,0.3489923240938951
ETTm1,patchtst,2,sf_joint_adapter,0.3316733321778384,0.3854058492906597
ETTm1,patchtst,2,sf_joint_adapter_global,0.3304574936272587,0.38468815584734883
ETTm2,dlinear,0,mae_base,0.10121993353695592,0.21107279840564003
ETTm2,dlinear,0,mae_joint_boundary,0.09426141868775406,0.2051893155723912
ETTm2,dlinear,0,mae_joint_adapter,0.10369704778040542,0.21330039166243667
ETTm2,dlinear,0,mae_joint_adapter_global,0.10022806304849055,0.2104544300112625
ETTm2,dlinear,0,sf_base,0.10102502693752721,0.21131014366686046
ETTm2,dlinear,0,sf_joint_boundary,0.09326349402473709,0.2038661932324512
ETTm2,dlinear,0,sf_joint_adapter,0.10060312268788403,0.20912055905288066
ETTm2,dlinear,0,sf_joint_adapter_global,0.09877737054899312,0.20845848165444505
ETTm2,dlinear,1,mae_base,0.1012434977999825,0.21094781771692117
ETTm2,dlinear,1,mae_joint_boundary,0.09328550767572202,0.20352249588198748
ETTm2,dlinear,1,mae_joint_adapter,0.10286332957342974,0.21175678989762192
ETTm2,dlinear,1,mae_joint_adapter_global,0.09992516179321134,0.20999469488385325
ETTm2,dlinear,1,sf_base,0.1003716542290866,0.20978779373220305
ETTm2,dlinear,1,sf_joint_boundary,0.09386303790093174,0.20408616236263993
ETTm2,dlinear,1,sf_joint_adapter,0.10233057002649516,0.21105345474770604
