dataset,backbone,kind,seed,rank,arm,mse,mae,state_bytes
ETTh1,patchtst,sf,1,2,adapter_global,0.5394401351178435,0.49637604981448014,1584
ETTh1,patchtst,sf,1,4,base,0.5390709840532627,0.49621923234137155,0
ETTh1,patchtst,sf,1,4,boundary,0.43330810697627753,0.45111336017250825,4528
ETTh1,patchtst,sf,1,4,adapter,0.5348137839501714,0.4947153284849394,1440
ETTh1,patchtst,sf,1,4,adapter_global,0.534930438890237,0.49472690428043814,1968
ETTh1,patchtst,mae,2,2,base,0.536062560541632,0.4945794986574455,0
ETTh1,patchtst,mae,2,2,boundary,0.41577074325034824,0.43998354564780556,4528
ETTh1,patchtst,mae,2,2,adapter,0.5340443936923022,0.49435863837781324,1056
ETTh1,patchtst,mae,2,2,adapter_global,0.5342507616430247,0.49440289544131805,1584
ETTh1,patchtst,mae,2,4,base,0.5389068576886394,0.49591354676348526,0
ETTh1,patchtst,mae,2,4,boundary,0.41606235523104784,0.4394521969058105,4528
ETTh1,patchtst,mae,2,4,adapter,0.5329994586372424,0.4933038509487866,1440
ETTh1,patchtst,mae,2,4,adapter_global,0.5330983833972468,0.4933516049691011,1968
ETTh1,patchtst,sf,2,2,base,0.5403405893263422,0.49213091848591034,0
ETTh1,patchtst,sf,2,2,boundary,0.4211650182831172,0.44195323144536053,4528
ETTh1,patchtst,sf,2,2,adapter,0.5378250837927392,0.49174546928653406,1056
ETTh1,patchtst,sf,2,2,adapter_global,0.5379938179253565,0.4917954898741781,1584
ETTh1,patchtst,sf,2,4,base,0.5396080251258517,0.4917472963184136,0
ETTh1,patchtst,sf,2,4,boundary,0.42152735990562223,0.4422532420984054,4528
ETTh1,patchtst,sf,2,4,adapter,0.532881617482496,0.48959286795984497,1440
ETTh1,patchtst,sf,2,4,adapter_global,0.5331003041510126,0.48971015067226437,1968
ETTh2,dlinear,mae,0,2,base,0.1690118930965308,0.28017584695249126,0
ETTh2,dlinear,mae,0,2,boundary,0.1524514402475091,0.262124880796141,4528
ETTh2,dlinear,mae,0,2,adapter,0.16767727695824614,0.2787624627083522,1056
ETTh2,dlinear,mae,0,2,adapter_global,0.16777775732988448,0.27886534975082555,1584
ETTh2,dlinear,mae,0,4,base,0.16832133798963808,0.2795801023194683,0
ETTh2,dlinear,mae,0,4,boundary,0.15209141604039667,0.2619328227709688,4528
ETTh2,dlinear,mae,0,4,adapter,0.16713334689122772,0.27788868208276196,1440
ETTh2,dlinear,mae,0,4,adapter_global,0.1674726830264076,0.27835755535470336,1968
ETTh2,dlinear,sf,0,2,base,0.17000086208656873,0.28112487247879675,0
ETTh2,dlinear,sf,0,2,boundary,0.1527957879242068,0.2623441238861788,4528
ETTh2,dlinear,sf,0,2,adapter,0.16839631707370542,0.2794528614460612,1056
ETTh2,dlinear,sf,0,2,adapter_global,0.16848442155217352,0.27953670041095086,1584
ETTh2,dlinear,sf,0,4,base,0.17093178780753043,0.2822080588237582,0
ETTh2,dlinear,sf,0,4,boundary,0.15292959427609162,0.26269934938301276,4528
